Domain,CNPJ,Company Name,Address,Phone,RDAP Email,ReceitaWS Email,Socio 1 Nome,Socio 1 Cargo,Socio 2 Nome,Socio 2 Cargo
maderatto.com.br,01.718.916/0001-44,MADERATTO INDUSTRIA E COMERCIO DE MOVEIS LTDA,"RUA JULIO ARAGAO, 440, LOTEAMENTO MUNICIPAL BRAS CUBAS, MOGI DAS CRUZES, SP",(11) 4722-8747,maderatto@maderatto.com.br,maderatto@maderatto.com.br,TADAO FURUTA,22-Sócio,ROBERTO TOSHIGI FURUTA,49-Sócio-Administrador
tcmoveis.com.br,55.188.163/0001-31,TC HOME CLASS LTDA,"RUA DR DEODATO WERTHEIMER, 2751, JD BETANIA, MOGI DAS CRUZES, SP",,suportegrupotc@gmail.com,,AHMAD ANIS AHMAD ORRA,49-Sócio-Administrador,ANIS AHMAD ORRA NETO,22-Sócio
todeschini.com.br,87.547.170/0001-79,TODESCHINI SA INDUSTRIA E COMERCIO,"ALAMEDA TODESCHINI, 370, VERONA, BENTO GONCALVES, RS",(54) 2102-8100 / (54) 2102-8297 / (54) 2102-8101,ti@todeschinisa.com.br,jaime.prux@todeschinisa.com.br,JORGE ALBERTO PALLASTRELLI,10-Diretor,PAULO FARINA,16-Presidente
finezaprimeplanejados.com.br,13.978.159/0001-27,CAIO CEZAR RACHID MOVEIS PLANEJADOS,"RUA BENJAMIN CONSTANT, 1082, CENTRO, SUZANO, SP",(11) 4742-9748,financeirocarla32@gmail.com,financeirocarla32@gmail.com,Not available,Not available,Not available,Not available
renovalardesigner.com.br,26.476.780/0001-34,RENOVA LAR DESIGNER LTDA,"RUA DOUTOR RICARDO VILELA, 971, CENTRO, MOGI DAS CRUZES, SP",(11) 7470-2023,janaina.querubim@gmail.com,maluapcassal@gmail.com,VANESSA CASSAL PIRES,49-Sócio-Administrador,Not available,Not available
redecasanobre.com.br,50.903.160/0001-19,MOVEIS URUASSU LTDA,"RUA DAMASIO PINTO, 1296, PARADA XV NOVEMBRO, SAO PAULO, SP",,eduardo@moveispinheiro.com.br,,EDUARDO PINHEIRO BORGES FILHO,49-Sócio-Administrador,Not available,Not available
grupolunardidesign.com.br,03.784.939/0001-82,JRCM LUNARDI LTDA,"AVENIDA FRANCISCO RODRIGUES FILHO, 890, VILA MOGILAR, MOGI DAS CRUZES, SP",(11) 4790-1445,influidigital@gmail.com,contato@scamogidascruzes.com.br,MARIA AMELIA HAYDEE LUNARDI,49-Sócio-Administrador,CRISLUCI DE OLIVEIRA SILVA LUNARDI,49-Sócio-Administrador
moveisprecioso.com.br,49.267.198/0001-63,MOVEIS PRECIOSO INDUSTRIA E COMERCIO LTDA,"RUA ANTONIO VERGACAS, 10, SOCORRO, MOGI DAS CRUZES, SP",,contato@moveisprecioso.com.br,,JOAO PRECIOSO,49-Sócio-Administrador,VALDECI PRECIOSO,22-Sócio
ghazalmoveis.com.br,52.549.763/0001-90,GHAZAL MOVEIS E DECORACOES LTDA,"R JOSE ALVES DOS ANJOS, 131, CENTRO, MOGI DAS CRUZES, SP",,crghazal@gmail.com,,DANYA FAUZI GHAZAL,30-Sócio ou Acionista Menor (Assistido/Representado),CINTIA REGINA GHAZAL,49-Sócio-Administrador
mobilare.com.br,17.017.706/0001-69,N & N SAADA MOVEIS E DECORACOES LTDA,"RUA CEL SOUZA FRANCO, 499, CENTRO, MOGI DAS CRUZES, SP",(11) 4799-0111,nsaada93@hotmail.com,knippel@knippel.com.br,NIZAR ABDUL NASSER SAADA,49-Sócio-Administrador,Not available,Not available
bontempo.com.br,93.976.629/0001-52,NOVOTEMPO FRANCHISING LTDA,"R JOSE MICHELON, 270, INDUSTRIAL, SAO MARCOS, RS",,ti@bontempo.com.br,,ROSMAR STEDILE,22-Sócio,RUDIMAR JOSE STEDILE,49-Sócio-Administrador
casaeart.com.br,10.397.003/0001-64,CASA & ART MOVEIS E DECORACOES LTDA,"RUA BENJAMIN CONSTANT, 636, CENTRO, SUZANO, SP",(11) 2297-6394,danillo.lima@gmail.com,esprimer@terra.com.br,ADRIANA MORGADO PENA,49-Sócio-Administrador,ROSILDA DE JESUS SANTOS CORDEIRO,49-Sócio-Administrador
favorita.com.br,01.743.404/0001-38,FAVORITA TRANSPORTES LTDA,"VIA DE ACESSO JOAO DE GOES, 2285, JARDIM ALVORADA, JANDIRA, SP",(11) 3393-2100,umberto@favorita.com.br,angela@favorita.com.br,UMBERTO CIOFFI,49-Sócio-Administrador,ANGELA MARIA CIOFFI,49-Sócio-Administrador
newmoveismogi.com.br,46.592.355/0001-18,NEW MOGI - MOVEIS E DECORACOES LTDA,"RUA CARMELA DUTRA, 281, JARDIM ESPLANADA, MOGI DAS CRUZES, SP",(11) 9790-4751,ALODUCCA@gmail.com,lica@minimaq.com.br,ANDRE MAURICIO LODUCCA,49-Sócio-Administrador,Not available,Not available
madeiramadeira.com.br,10.490.181/0001-35,MADEIRAMADEIRA COMERCIO ELETRONICO S/A,"R MARECHAL DEODORO, 717, CENTRO, CURITIBA, PR",(41) 4063-7105,daniel.scandian@madeiramadeira.com.br,emerson.freitas@madeiramadeira.com.br,FELIPE ANDRE HOFF,10-Diretor,LEANDRO VARELA DA SILVA,10-Diretor
calimazzomadeiras.com.br,54.261.169/0001-24,CALIMAZZO COMERCIO DE MADEIRAS LIMITADA,"RUA CAP EURICO J OLIVEIRA, 150, VILA RUBENS, MOGI DAS CRUZES, SP",,a.calimazzo@ig.com.br,,FRANCESCO CALIMAZZO,49-Sócio-Administrador,MARTA DE OLIVEIRA CALIMAZZO,22-Sócio
minimaq.com.br,53.118.022/0001-17,MINIMAQ EQUIPAMENTOS PARA ESCRITORIOS LTDA,"R JOSE BONIFACIO, 302, CENTRO, MOGI DAS CRUZES, SP",(11) 4799-4000,aloducca@gmail.com,sirlene@minimaq.com.br,FABIANA PAULA LODUCCA AMORIM,49-Sócio-Administrador,VILMA ISABEL GRUPPI LODUCCA,49-Sócio-Administrador
blogspot.com.br,06.990.590/0001-23,GOOGLE BRASIL INTERNET LTDA.,"AV BRIG FARIA LIMA, 3477, ITAIM BIBI, SAO PAULO, SP",(11) 2395-8400,ccops@markmonitor.com,googlebrasil@google.com,GOOGLE LLC,37-Sócio Pessoa Jurídica Domiciliado no Exterior,GOOGLE INTERNATIONAL LLC,37-Sócio Pessoa Jurídica Domiciliado no Exterior
lojasinovar.com.br,17.292.698/0001-69,INOVAR MAGAZINE LTDA,"RUA QUINZE DE NOVEMBRO, 152, CENTRO, SAO JOSE DOS CAMPOS, SP",(12) 3912-3940,administracao@aenova.com.br,anapaula@lojasinovar.com.br,NELSIANO FERREIRA MACIEL,49-Sócio-Administrador,Not available,Not available
balcaosobmedida.com.br,17.214.731/0001-32,B.J DE OLIVEIRA ACESSORIOS PARA LOJISTAS,"AV VEREADOR JOAO FERNANDES DA SILVA, 889, VILA VIRGINIA, ITAQUAQUECETUBA, SP",(11) 4642-5565,bjajeni@gmail.com,organizacaocontabilcd@cdcontabil.com.br,Not available,Not available,Not available,Not available
requintemoveisplanejados.com.br,10.269.154/0001-37,AGENCIA CLOSE MARKETING E COMUNICACAO LTDA,"R NATAL, 303, VILA VIRGINIA, ITAQUAQUECETUBA, SP",(11) 3754-0610,ricardo.plasma@gmail.com,ricardo@agenciaclose.com.br,RICARDO DE SOUZA SANTOS,49-Sócio-Administrador,Not available,Not available
criativaprojetados.com.br,37.431.462/0001-73,JOSIELE ANSELONI VITOR,"RUA ACACIA, 37, JARDIM DOS IPES, ITAQUAQUECETUBA, SP",(11) 4724-0165,CRIATIVAPROJETADOS@gmail.com,cliente.hh@hotmail.com,Not available,Not available,Not available,Not available
jcitalinea.com.br,29.665.788/0001-37,JC PLANEJADOS LTDA,"AV ITAQUERA, 1552, JARDIM MARINGA, SAO PAULO, SP",(11) 2368-6149,adm.jcplanejados@gmail.com,everton_colaco@yahoo.com.br,EVERTON JOSE COLACO,49-Sócio-Administrador,Not available,Not available
unycamoveisplanejados.com.br,16.925.955/0001-90,HELIO DOS SANTOS MOVEIS PLANEJADOS,"AVENIDA BRIGADEIRO FARIA LIMA, 863, COCAIA, GUARULHOS, SP",(11) 4372-4319 / (11) 8211-8770 / (11) 2967-0939,helhao_s@yahoo.com.br,andrea.s.miranda@uol.com.br,Not available,Not available,Not available,Not available
grupomoveispinheiro.com.br,50.903.160/0001-19,MOVEIS URUASSU LTDA,"RUA DAMASIO PINTO, 1296, PARADA XV NOVEMBRO, SAO PAULO, SP",,eduardo@moveispinheiro.com.br,,EDUARDO PINHEIRO BORGES FILHO,49-Sócio-Administrador,Not available,Not available
rsmoveisplanejados.com.br,34.088.145/0001-08,V G DE O SOARES COMERCIO DE MOVEIS PLANEJADOS,"RUA DANTON COELHO, 175, VILA NHOCUNE, SAO PAULO, SP",(11) 2311-3000 / (11) 2995-3667,vinicius_abmv@hotmail.com,financeiro@rsmoveisplanejados.com.br,Not available,Not available,Not available,Not available
pagmenosplanejados.com.br,31.853.886/0001-40,PAGMENOS MOVEIS PLANEJADOS LTDA,"AVENIDA BARAO LUIS DE ARARIBA, 463, JARDIM EVA, SAO PAULO, SP",(11) 2571-0390,solutudo@gmail.com,pagmenosmoveisplanejados@gmail.com,MARCELO DINIZ SOUSA MARTINS,49-Sócio-Administrador,CARLA SANTOS DA SILVA,49-Sócio-Administrador
artsevenplanejados.com.br,51.550.214/0001-72,ART SEVEN MOVEIS PLANEJADOS LTDA,"AVENIDA ARICANDUVA, 5965, VILA ARICANDUVA, SAO PAULO, SP",(11) 7282-9082 / (0000) 0000-0000,artsevenplanejados@gmail.com,raquelvaz@msn.com,TAYLOR GABRIEL DA SILVA LUZ,49-Sócio-Administrador,Not available,Not available
klessvilaprudente.com.br,19.300.571/0001-70,SUPREME DECOR PLANEJADOS E COLCHOES LTDA,"AVENIDA DO ORATORIO, 4280, JARDIM GUAIRACA, SAO PAULO, SP",(11) 9999-9999,suelipinheiroloja@gmail.com,contador@jhcontabilidade.com.br,MARIA SUELI PINHEIRO ALVES DA SILVA,49-Sócio-Administrador,Not available,Not available
tzplanejados.com.br,13.878.433/0001-96,TZ PLANEJADOS MOVEIS E DECORACOES LTDA,"AV MATEO BEI, 224, SAO MATEUS, SAO PAULO, SP",(11) 3186-8500/ (11) 3186-8500,bispo.aleleite@gmail.com,legalizacao.sidineia@araujosorganizacoes.com.br,FABIO PINHEIRO,49-Sócio-Administrador,ELZILENE PRATES DE SANTANA PINHEIRO,49-Sócio-Administrador
wood102marcenaria.com.br,14.503.185/0001-61,M T DE LIMA MOVEIS PLANEJADOS E RUSTICOS,"AVENIDA NORDESTINA, 1833, CIDADE NOVA SAO MIGUEL, SAO PAULO, SP",(11) 3027-9699 / (11) 8722-4470 / (11) 2053-7455,webeart@hotmail.com,wmoveis102@outlook.com,Not available,Not available,Not available,Not available
miralli.com.br,30.659.814/0001-01,MIRALLI MOVEIS PLANEJADOS LTDA,"AV MAEST VILLA-LOBOS, 778, VILA GUSTAVO, SAO PAULO, SP",(11) 2937-6500,mirallimoveisplanejados@gmail.com,marcikely.realize@gmail.com,MARCIKELY FARIAS DE OLIVEIRA,49-Sócio-Administrador,Not available,Not available
necplanejados.com.br,12.850.519/0001-48,N.E.C. SERVICOS EM MOVEIS LTDA,"AVENIDA GUARULHOS, 4362, PONTE GRANDE, GUARULHOS, SP",(11) 3798-3742,cintia@necplanejados.com.br,necmoveis@gmail.com,NAHIM KAMEL ELIAS BOU ASSI FILHO,49-Sócio-Administrador,CINTIA MELANIAS BOU ASSI,49-Sócio-Administrador
rinnovareplanejados.com.br,34.362.286/0001-77,RINNOVARE PREMIUM COMERCIO DE MOVEIS PLANEJADOS LTDA,"RUA MANUEL DE FREITAS, 60, VILA GOMES CARDIM, SAO PAULO, SP",(11) 2451-6401,adriano@abdesign.com.br,arenacontabil@uol.com.br,LUIS RICARDO RODRIGUES,49-Sócio-Administrador,FABIO RODRIGUES DOS SANTOS,49-Sócio-Administrador
italineacasaecozinha.com.br,07.653.849/0002-94,AHMID ABDO RAUF ABDUNI,"AVENIDA ARICANDUVA, 5555, VILA ARICANDUVA, SAO PAULO, SP",(11) 6211-0042,r26company@gmail.com,casacozinha@bol.com.br,Not available,Not available,Not available,Not available
valcenter.com.br,04.957.167/0001-04,IGUATEMI PLANEJADOS TRANSPORTES E SERVICOS LTDA,"RUA PORTUGAL, 144, VILA VARELA, POA, SP",(11) 2732-8300 / (11) 2280-0103,aliy@terra.com.br,ali@valcenteronline.com.br,ALI YOUSSEF KHALIL,49-Sócio-Administrador,Not available,Not available
kairosplanejados.com.br,23.974.458/0001-47,KAIROS PLANEJADOS E DECORACOES LTDA,"RUA SANTA IZABEL, 714, VILA AUGUSTA, GUARULHOS, SP",(11) 2862-9698,fernando@brasilemfolhas.com.br,kairosplanejadosguarulhos@hotmail.com,JULIO CEZAR SCANO,49-Sócio-Administrador,Not available,Not available
arkadplanejados.com.br,48.868.786/0001-90,ARKAD PLANEJADOS LTDA,"AVENIDA SUPLICY, 460, JARDIM SANTA MENA, GUARULHOS, SP",(11) 8207-3304,arkadplanejados@gmail.com,contato@sousasolucoescontabeis.com.br,VALTERONE NOVAIS DE SOUSA,49-Sócio-Administrador,Not available,Not available
dianaplanejados.com.br,74.242.421/0001-65,ZIAD HUSSEIN ABDOUNI,"RUA CACHOEIRA, 29, PICANCO, GUARULHOS, SP",,adm@dianaplanejados.com.br,,Not available,Not available,Not available,Not available
reluksplanejados.com.br,32.782.073/0001-79,MARCENARIA RELUKS MOVEIS SOB MEDIDA LTDA,"RUA LORETO, 261, JARDIM RODOLFO, GUARULHOS, SP",(11) 7501-7932,reluksplanejados@gmail.com,reluksplanejados@gmail.com,VALERIA GUINTER MARQUES,49-Sócio-Administrador,LUCIANO DE OLIVEIRA MARQUES,49-Sócio-Administrador
ldfreitas.com.br,66.941.592/0001-54,MARCENARIA LD FREITAS LTDA,"AVENIDA MONACO, 85, CIDADE SERODIO, GUARULHOS, SP",(11) 2469-0281,olivi@olivi.com.br,falecom@realcontabilidade1.com.br,DALVA APARECIDA RODRIGUES DA CUNHA DE FREITAS,49-Sócio-Administrador,LUIZ VENANCIO DE FREITAS,49-Sócio-Administrador
kidarplanejados.com.br,44.458.139/0001-59,KIDAR COMERCIO DE MOVEIS LTDA.,"AVENIDA DOUTOR TIMOTEO PENTEADO, 3042, VILA GALVAO, GUARULHOS, SP",(11) 3966-7500 / (11) 3951-5563 / (11) 3951-5573,bassamalnajar563@gmail.com,douglas@colanericontabil.com.br,SAMI ALSHEKH ALNAJAR,49-Sócio-Administrador,Not available,Not available
residenzaplanejados.com.br,18.821.836/0001-12,GUARU PLANEJADOS LTDA,"AVENIDA DOUTOR TIMOTEO PENTEADO, 4504, VILA RENATA, GUARULHOS, SP",(11) 2382-9880 / (11) 2937-7660,ricardo@valcenteronline.com.br,youssef.bentec@gmail.com,RICARDO YOUSSEF BACARIN EL TURK,49-Sócio-Administrador,SANDRA MARIA BACARIN,22-Sócio
marcenariajb.com.br,56.040.645/0001-02,MARCENARIA JB LTDA,"AV BRIGADEIRO FARIA LIMA, 2295, COCAIA, GUARULHOS, SP",(11) 2404-5559,sites@brasilamarelas.com.br,correio@marcenaria-jb.com.br,JOSE BARCALA MORUJA,49-Sócio-Administrador,Not available,Not available
a2planejados.com.br,41.060.398/0001-39,ARMANDO FEIJO MOVEIS PLANEJADOS LTDA,"AL AFONSO SCHMIDT, 493, SANTA TERESINHA, SAO PAULO, SP",(11) 5867-4859,adm.a2planejados@gmail.com,armandinhofeijo@gmail.com,ARMANDO FAGNER FEIJO DE PAULA,49-Sócio-Administrador,Not available,Not available
nanamoveis.com.br,68.086.917/0001-94,NAGIB MOHAMAD EL KURDI GUARULHOS,"AVENIDA OTAVIO B DE MESQUITA, 1600, VL BARROS, GUARULHOS, SP",,nanamoveis@hotmail.com,,Not available,Not available,Not available,Not available
megmoveisplanejados.com.br,42.904.780/0001-44,M&G MOVEIS PLANEJADOS LTDA,"AVENIDA MONTEIRO LOBATO, 5858, CIDADE JARDIM CUMBICA, GUARULHOS, SP",(11) 8963-5294,mgplanejadossp@gmail.com,marcos.trabalho@yahoo.com.br,MARCOS SILVEIRA DA SILVA,49-Sócio-Administrador,Not available,Not available
gildesignmoveis.com.br,14.218.955/0001-24,GIL DESIGN MOVEIS PLANEJADOS LTDA,"ESTRADA PRESIDENTE JUSCELINO KUBITSCHEK DE OLIVEIRA, 2049, PARQUE SAO MIGUEL, GUARULHOS, SP",(11) 2303-3880 / (11) 4966-0065 / (11) 4966-0067,walterfilho@hotmail.com,gildesign2011@hotmail.com,GIOVANETE REIS DA SILVA,49-Sócio-Administrador,Not available,Not available
madecommarcenaria.com.br,34.704.234/0001-31,ADENILCE RIBEIRO DOS SANTOS ALVES 55268234587,"AVENIDA GUARULHOS, 1340, VILA AUGUSTA, GUARULHOS, SP",(11) 7496-5642,madecommarcenariam@gmail.com,smendescordeiro@gmail.com,Not available,Not available,Not available,Not available
italinea.com.br,02.017.451/0001-67,ITALINEA INDUSTRIA DE MOVEIS LTDA,"ALAMEDA TODESCHINI, 370, VERONA, BENTO GONCALVES, RS",(54) 2102-8100 / (54) 2102-8101,ti@todeschinisa.com.br,jaime.prux@todeschinisa.com.br,JOSE ANTONIO MOSSMANN,05-Administrador,TODESCHINI SA INDUSTRIA E COMERCIO,22-Sócio
moveisconforto.com.br,06.147.050/0001-82,VERA LUCIA MANGOLIN ROMERO,"AVENIDA OTAVIO BRAGA DE MESQUITA, 1568, VILA FLORIDA, GUARULHOS, SP",,f16host@gmail.com,,Not available,Not available,Not available,Not available
marabraz.com.br,20.857.131/0001-05,BLUE GROUP PARTICIPACOES E COMERCIO ELETRONICO LTDA,"V AC NORTE KM 38 (ROD ANHANGUERA), 420, EMPRESARIAL GATO PRETO (JORDANESIA), CAJAMAR, SP",(11) 4447-8200,gestaoti@bgdigital.com.br,contabilidade@bgdigital.com.br,NADER FARES,49-Sócio-Administrador,NAJLA FARES GHAZZAOUI,22-Sócio
jjplanejados.com.br,38.052.422/0001-83,J. J. MOVEIS E DECORACOES LTDA,"RUA QUINTA DA MAGNOLIA, 279, JARDIM IPANEMA (CIDADE LIDER), SAO PAULO, SP",(11) 9999-9999,dominios@basicsite.com.br,jarisonsouza@hotmail.com,JARISON JACQUES GOMES DE SOUZA,49-Sócio-Administrador,Not available,Not available
anfelleplanejados.com.br,48.469.408/0001-33,ANFELLE AMBIENTES PLANEJADOS LTDA,"AVENIDA DOUTOR TIMOTEO PENTEADO, 4410, VILA GALVAO, GUARULHOS, SP",(11) 7823-7223 / (11) 7823-7223,anfelleplanejados@gmail.com,adm.anfelle@gmail.com,FELIPE DOS ANJOS JOAQUIM,49-Sócio-Administrador,Not available,Not available
solutudo.com.br,21.510.940/0001-09,SOLUTUDO BRASIL FRANCHISING LTDA.,"R GENERAL TELLES, 39, CENTRO, BOTUCATU, SP",(14) 3815-2222,solutudo@gmail.com,jerusa.sobrinho@solutudo.com.br,RAFAEL REGIS SOMERA,05-Administrador,SOLUTUDO CONSULTORIA EMPRESARIAL E PARTICIPACOES S.A.,22-Sócio
gruporitmo.com.br,30.573.396/0001-27,RITMO MOVEIS PLANEJADOS LTDA,"AVENIDA NOVE DE JULHO, 2.101, ANHANGABAU, JUNDIAI, SP",(11) 7589-9952,contato@v2bmkt.com.br,sergio@ritmomoveis.com.br,DIEGO FERNANDES,49-Sócio-Administrador,SERGIO RODRIGO FERNANDES,49-Sócio-Administrador
casaconceitoabc.com.br,05.685.990/0001-62,TALISMA SERVICOS DE APOIO ADMINISTRATIVO LTDA,"RUA PEDRO MEDEIROS, 153, JARDIM VILA CARRAO, SAO PAULO, SP",(11) 2872-5003 / (11) 2872-5004 / (11) 4974-2235,leandro@casaconceitoabc.com.br,paolo@topplanejamento.com.br,BRUNO QUEIROZ LOPES,49-Sócio-Administrador,Not available,Not available
florense.com.br,89.962.294/0001-46,FABRICA DE MOVEIS FLORENSE LTDA,"AV 25 DE JULHO, 4090, SAO PEDRO, FLORES DA CUNHA, RS",(54) 3292-7300,marcio@florense.com.br,nelso@florense.com.br,ANGELO CORRADI PARTICIPACOES LTDA,22-Sócio,LOURENCO DARCY CASTELLAN ADMINIST E PARTICIPACOES LTDA,22-Sócio
evvivaabc.com.br,17.888.374/0001-98,MA MATHIAS - PROJETOS E DESIGN LTDA,"RUA SUD MENUCCI, 1110, VILA CAMILOPOLIS, SANTO ANDRE, SP",(11) 2139-4650 / (11) 2139-4650,mastolphi@gmail.com,escpolivalente@escpolivalente.com.br,MARCELO ASTOLPHI MATHIAS,49-Sócio-Administrador,Not available,Not available
celmarabc.com.br,09.312.751/0001-18,FORMATO MOBILE - COMERCIO DE MOVEIS E DECORACOES LTDA,"AVENIDA PORTUGAL, 1446, CENTRO, SANTO ANDRE, SP",(11) 4125-1074 / (11) 4125-1074,fapesp@schemer.com.br,acepcontabil@uol.com.br,SONIA REGINA DA SILVA BRITO,49-Sócio-Administrador,Not available,Not available
munariplanejados.com.br,12.555.445/0001-17,MUNARI MOVEIS PROJETADOS LTDA,"RUA IUGOSLAVIA, 231, PARQUE DAS NACOES, SANTO ANDRE, SP",(11) 4996-5010 / (11) 4996-5010,adm@munariplanejados.com.br,adm@munariplanejados.com.br,FABIO ARCHANJO MUNARI,49-Sócio-Administrador,Not available,Not available
grupogabisa.com.br,62.943.287/0001-40,TIJOTEMA MADEIRAS E MOVEIS PLANEJADOS LTDA,"AVENIDA DO ESTADO, 2322, VILA METALURGICA, SANTO ANDRE, SP",,misabel@grupogabisa.com.br,,ELTON SILVA PINTO,49-Sócio-Administrador,LIDIANE MIRANDA SILVA,49-Sócio-Administrador
fbmoveis.com.br,18.848.618/0001-71,FABIO J. DOS SANTOS PLANEJADOS,"ALAMEDA VIEIRA DE CARVALHO, 494, SANTA TEREZINHA, SANTO ANDRE, SP",(11) 3370-6619,nessiedigital@gmail.com,fabinho.fbplanejados@hotmail.com,Not available,Not available,Not available,Not available
admaisinteriores.com.br,28.401.414/0001-41,RZ COMERCIO DE MOVEIS LTDA,"AVENIDA DOM PEDRO II, 611, JARDIM, SANTO ANDRE, SP",(11) 4011-9626,gerenciatodeschini@gmail.com,diretoria@admaisinteriores.com.br,ADRIANO RUIZ ZANCANELA,49-Sócio-Administrador,Not available,Not available
qgdesignitalinea.com.br,22.201.515/0001-92,QG DESIGN DE MOVEIS LTDA,"RUA DOS ALPES, 334, VILA CURUCA, SANTO ANDRE, SP",(11) 2324-4502,luciano@qgdesignitalinea.com,karina@qgdesignitalinea.com,KARINA MARIA FALCAO PEREIRA,49-Sócio-Administrador,Not available,Not available
moveisbartira.com.br,59.105.825/0001-13,INDUSTRIA DE MOVEIS BARTIRA LTDA,"AV DO ESTADO, 2060, FUNDACAO, SAO CAETANO DO SUL, SP",(11) 4225-6555,domains@via.com.br,setorfiscal.csc@viavarejo.com.br,GLOBEX ADMINISTRACAO E SERVICOS LTDA,22-Sócio,RENATO HORTA FRANKLIN,05-Administrador
idelli.com.br,00.912.882/0001-61,GRUPO K1 S.A.,"R DA EMANCIPACAO, 2000, INDUSTRIAL, TUPANDI, RS",(51) 3635-8800/ (51) 3635-8819,guilherme@kappesberg.com.br,,CARLOS LUIZ SOST,16-Presidente,PEDRO CANISIO STEFFENS,08-Conselheiro de Administração
rearmoveisplanejados.com.br,22.668.485/0001-29,RENATO & ARLENE COMERCIO DE MOVEIS LTDA,"AVENIDA ANDRE RAMALHO, 371, PARQUE JOAO RAMALHO, SANTO ANDRE, SP",(11) 4996-5010 / (11) 4996-5010,renaviana2015@outlook.com,novaera@contabilidadenovaera.com.br,RENATO RODRIGUES VIANA,49-Sócio-Administrador,ARLENE BATISTA DE SOUZA VIANA,49-Sócio-Administrador
innovafatto.com.br,08.970.877/0001-17,NILSON HENRIQUE DO NASCIMENTO,"AVENIDA PORTUGAL, 1497, CENTRO, SANTO ANDRE, SP",(11) 4332-5488,cah.carolina.2512@hotmail.com,legalizacao@momessoeoliveira.com.br,Not available,Not available,Not available,Not available
